Job Title,Company,Time,Location,Link
Server Software Engineer,"
        Nexus Media",14 hours ago,,https://www.indeed.ca/rc/clk?jk=2aa92ea97ef5a350&fccid=d8c58c076784b455&vjs=3
Software Engineer – Server Side,,13 hours ago,,https://www.indeed.ca/rc/clk?jk=14ce76b029869b52&fccid=0d11cddd9b29de5a&vjs=3
Software Engineer Co-op (September 2019),"
        Kabam",8 days ago,,https://www.indeed.ca/rc/clk?jk=df77a52bc271e7a8&fccid=fde47f06a6b44d5e&vjs=3
Full Stack Software Engineer,"
        Paypal",3 days ago,,https://www.indeed.ca/rc/clk?jk=8b6c24a7ad6274c5&fccid=978d9fd9799d55a8&vjs=3
Software Engineer,"
        Microsoft",2 days ago,,https://www.indeed.ca/rc/clk?jk=284b312efad8c23d&fccid=734cb5a01ee60f80&vjs=3
Software Engineer (Backend),,30+ days ago,,https://www.indeed.ca/rc/clk?jk=bd82cc9985b0e2fe&fccid=bc3d4709415632ce&vjs=3
Client Software Engineer,"
        Nexus Media",14 hours ago,,https://www.indeed.ca/rc/clk?jk=ca3c899b9a61061c&fccid=d8c58c076784b455&vjs=3
Software Engineer - Frostbite Cinematics,"
        Electronic Arts",6 days ago,,https://www.indeed.ca/rc/clk?jk=d31e31f1ec45cfed&fccid=617d7f961cfcf54a&vjs=3
Systems Software Engineer - Compute Virtualization Team,"
        Cisco Careers",22 hours ago,,https://www.indeed.ca/rc/clk?jk=47171ca585ddc94b&fccid=dfc44f3b8c44a6db&vjs=3
Software Development Engineer,"
        AMZN CAN Fulfillment Svcs, ULC",1 day ago,,https://www.indeed.ca/rc/clk?jk=85a7cdae23894997&fccid=fe2d21eef233e94a&vjs=3
Software Developer,"
        University of British Columbia",2 days ago,,https://www.indeed.ca/rc/clk?jk=8fba4c71c5d2b395&fccid=462e6068c17c7702&vjs=3
Software Development Engineer - Test I,"
        AMZN CAN Fulfillment Svcs, ULC",30+ days ago,,https://www.indeed.ca/rc/clk?jk=0c8636e20b7ede87&fccid=fe2d21eef233e94a&vjs=3
Backend Software Engineer Co-op / Intern (Blockchain Projects) Fall 2019,,30+ days ago,,https://www.indeed.ca/rc/clk?jk=6cc407ea0e9051fd&fccid=97b60a8911a47812&vjs=3
Software Development Engineer,,1 day ago,,https://www.indeed.ca/rc/clk?jk=d9a34d268e107ae7&fccid=1c325a1c419ec6ac&vjs=3
"Staff Software Engineer, UX","
        Sierra Wireless",,"Richmond, BC",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0COegRQ2faVmEAQ9JwGJh0sLdSZZHezfC6z-RyBKtCCgHWYaxEawS3Ry5eG4MJPekOCeePpMXsP-1IG-mv3HCmZeVHw3WmNtTl0ot4vZska8VZYMtu_e8qtkVySCmSRMd87zlhiP7U5wyjS4X2LWsfMXEUDmBBJbqwrubMiF7E_xZy88Ekkvx-092_fDSIN3cwl83us69w5VYft1vK4M-4K7h1O47G9ky3tXIrL6IGhvCLs4jzcbrDery2e9VzwGTVWx6Pp-Heio4dXdAKZLpkuFISl8dvgvwj0BUSa-z2_OgiB1RN8H6-g1nsX_1fgDoj8TlNjB80nZqkYUHtuOH4zzWKUIijGxWjHIOFvMrpRLPYRZtKiQ14CsE4QyrY6X8-cmlQxWDKiA30agsSxyvka3M9ANcu-_65m-Q2eSGsdrFMLWCk7IE7MWrry9SOLpEH2IuOer3Bfg_MNuk41Bpwu8Wbx2tEpO3x9Ixbd6m6n2vuuShJU8v8ie-qpFPMKlr1Ss05kQgcVjSmQRBCzV6crT7liIy-AggArGBwXuTuTRyb1soGv7rXU3ndqDEch12Md6TAvlvxblrKZYhxeBKJQpZlT4Kqkj5tpQZVGpMEO2gD8nacsQa6RbI1LGdx4kD1kvuyrwsWJq9VP2ubvcOyRLgKUIWAOP5LTW0EqXK9VYs1KjY6mx_xOCF8t1v4NHixus2ywTF8B8NzuE4m8iUiEH2wV5iZA2T-8R2htweY6zIxcKeZ3YX5P_ZscMN7oL6pbJorXXzJQqILTZqoh15Rf&p=24&fvj=0&vjs=3
Senior Embedded Software Engineer,,,"Maple Ridge, BC",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CMeG7t6llFjnaFXoOCl07eS4RRZyjmx2atLJGpTnDbazPJtVy2NLsanbO1J3LA-s5d3WpAPLAL6-aH12dojc4ndDiL4_jPH9FyM_URhEeqF013pqkcQo2RXyXEZRjVRcS0O2PHIwLeA40D9OXRy5QULEjCIVAVhVgVawvA9lhwfNaet-k0mdpBqVTnbxWW1LetLZ6rcJCU_mnLZGudGPLduDBRc8qG0K2CtxGsUaEpqPepTwXz4WPzBHvc6w-Ws1dk2DTqct9XidDT5P0LkIiTvxUDtevsnYR-anTwVaboZFzkQ_zZiPF8-lP3HZ2U176LlZ3yr7_W4JdXdMoHLk8dGafASBqKKyVMrkpest6Xd07wPGeAOVfNyouI4HlrvurJkRk7aRbpgsYAAeC__ronDSDhTyU2TD2jZivGA3JFf4XmJUPfqguAwvtDuPzsCFlQb068BtOKEYRaKq-AL3wFHNroZU9B2Jk=&p=25&fvj=1&vjs=3
Senior Front End Engineer,"
        Article",,"Vancouver, BC",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BOnCCN2IrCMInChj3DA7ShcjI4lskYsCJGgPxzEZ6mI2fFoqFU6WsPvFeUETdh6oazAekohs8etqYGmwdJ_W5j-HA3et8lbgpFlso1Cf1o6MdYbj3ymeKo6oOOx-hVVonfpGoyWjxA5mC8QqSeycqtV-wPy5aMGW6G2ydi7DfXTsPbzt8vp6_5PgQcEh6ISL3PsYpt7y7bhuOI1MW0DjclXnDcWOaHxHkb7tkZToMVC31MC4HKqilSgbownwPwulN1HZjcAEF4ZKSQu6eTNPrxJmeiZrrZ-k6peaQ503hZAdmBWfZZ5_2oTdkgW9v3jAlu2og7hXmPX8DRijSIVR1NATIEjOxtfOtM_s31oa3C3GCV2pW7VIZVmuHa7ySpTBkEHZOEeHrXaMwoOX-yF9xxmW34L4c3BIF9FbRBKmU4ww==&p=26&fvj=0&vjs=3
